id,quantum_company,commercial_partner,year,notes
47,IBM,JPMorgan Chase,,
48,IBM,Mitsubishi Chemical,,
49,IBM,RIKEN & Cleveland Clinic,,
50,IBM,Wells Fargo,,
51,IBM,Boeing,,
52,IBM,ExxonMobil,,
53,IBM,Mercedes-Benz / Daimler,,
54,IBM ,Daimler AG,,
55,IBM Quantum,JPMorgan Chase,,
56,IBM Quantum,ExxonMobil,,
57,IBM Quantum,Mitsubishi Chemical,,
58,IBM Quantum,MolTex Energy,,
59,IBM Quantum,Cleveland Clinic,,
60,IBM Quantum,MIT,,
61,IBM Quantum,Daimler AG,,
62,IBM Quantum,Goldman Sachs,,
63,IBM Quantum,U.S. DOE Labs (USA),,
64,IBM Quantum,Apple/Amazon (USA),,
65,IBM Quantum,Daimler (Germany),,
66,IBM Quantum,Anthem (USA),,
67,IBM Quantum,PayPal (USA),,
68,"IBM, Rigetti",ExxonMobil,,
69,ID Quantique,SK Telecom,,
70,Intel (USA),AIST (Japan),,
71,IonQ,Oak Ridge National Laboratory,,
72,IonQ,United States Air Force Research Lab,,
73,IonQ,AWS/Amazon Braket (USA),,
74,IonQ,Oak Ridge National Lab (USA),,
75,IonQ,Airbus,,
76,IQM,VTT Technical Research Centre,,
77,IQM,Leibniz Supercomputing Centre (LRZ),,
78,IQM,Eviden & CSC - IT Center for Science,,
79,IQM,Jülich Supercomputing Centre,,
80,IQM,NVIDIA,,
81,IQM,Hewlett Packard Enterprise,,
82,IQM,HQS Quantum Simulations,,
83,IQM Quantum Computers,Volkswagen AG,,
84,LightSolver,Ansys,,
85,Microsoft,DEWA (UAE),,
86,Microsoft Azure Quantum,Ford,,
87,Microsoft Quantum,University of Sydney,,
88,Nu Quantum,CERN White Rabbit,,
89,Nu Quantum (UK),CERN (Switzerland),,
90,"Oxford Ionics (UK), Quanscient (Finland)",Airbus,,
91,"Oxford Ionics, Quanscient",Airbus,,
92,Pasqal,Aramco,,
93,Pasqal,BMW,,
94,Pasqal (France),Aramco,,
95,PsiQuantum, Illinois Quantum And Microelectronics Park,,
96,Q-CTRL,IBM Quantum,,
97,QC Ware,Goldman Sachs,,
98,QC Ware,Covestro,,
99,QC Ware,Goldman Sachs,,
100,QC Ware,Roche,,
101,"QC Ware, IonQ",Goldman Sachs,,
102,Qilimanjaro Quantum Tech (Spain),Caixa Bank (Spain),,
103,Qrypt,Mattermost,,
104,QSimulate (Germany),Bosch (Germany),,
105,Quantinuum,BMW Group,,
106,Quantinuum,Various Pharma Companies,,
107,Quantinuum,Mitsui & Co,,
108,Quantinuum,Microsoft,,
109,Quantinuum,SoftBank (Japan),,
110,Quantinuum,BNY Mellon (USA),,
111,Quantinuum,Microsoft (USA),,
112,Quantinuum,Google Deepmind,,
113,Quantinuum,HSBC,,
114,Quantum Brilliance,Pawsey Supercomputing Research Centre ,,
115,QuantX Labs,Australian Government,,
116,QuEra,AIST & NVIDIA,,
117,QuEra,Massachusetts Administration,,
118,QuEra,Pawsey Supercomputing Research Centre ,,
119,QURECA,IMPACTIFI,,
120,Rigetti,Horizon Quantum Computing & Quantum Machines,,
121,Rigetti (USA),U.S. Air Force ,,
122,SandboxAQ,Deloitte,,
123,Silicon Quantum Computing,"Australian Government, UNSW, CBA, Telstra",,
124,TBD,"Commonwealth Bank of Australia (CBA), Telstra, UNSW",,
125,University of Hamburg,Lufthansa,,
126,Xanadu (Canada),AstraZeneca (UK),,
127,Zapata Computing,BP,,
128,Zapata Computing,BBVA,,
129,Zapata Computing,Biogen,,
130,Zapata Computing,Andretti Autosport,,
